Sample	Type	AneuploidyScore(AS)	AS_del	AS_amp	Genome_doublings	Leuk	Purity	Stroma	Stroma_notLeukocyte
TCGA-DS-A0VL-01	CESC	3	3	0	0	0.194730933	0.79	0.21	0.015269067
TCGA-DS-A0VM-01	CESC	3	1	2	0	0.143250533	0.71	0.29	0.146749467
TCGA-DS-A0VN-01	CESC	18	17	1	1	0.321561359	0.5	0.5	0.178438641
TCGA-DS-A3LQ-01	CESC	22	17	5	1	0.173084005	0.72	0.28	0.106915995
TCGA-DS-A5RQ-01	CESC	3	2	1	0	0.195714894	0.7	0.3	0.104285106
TCGA-DS-A7WF-01	CESC	0	0	0	0	0.058679524	0.94	0.06	0.001320476
TCGA-DS-A7WH-01	CESC	5	1	4	0	0.202372472	0.68	0.32	0.117627528
TCGA-DS-A7WI-01	CESC	5	1	4	0	0.123101367	0.85	0.15	0.026898633
TCGA-EA-A1QS-01	CESC	9	3	6	0	0.221446501	0.3	0.7	0.478553499
TCGA-EA-A1QT-01	CESC	8	6	2	0	0.137339777	0.86	0.14	0.002660223
TCGA-EA-A3HQ-01	CESC	10	0	10	0	0.139287209	0.79	0.21	0.070712791
TCGA-EA-A3HR-01	CESC	8	5	3	0	0.153636868	0.75	0.25	0.096363132
TCGA-EA-A3HS-01	CESC	5	2	3	0	0.10313587	0.84	0.16	0.05686413
TCGA-EA-A3HT-01	CESC	4	0	4	0	0.261994562	0.57	0.43	0.168005438
TCGA-EA-A3QD-01	CESC	5	1	4	0	0.355937783	0.53	0.47	0.114062217
TCGA-EA-A3QE-01	CESC	4	4	0	0	0.46915161	0.44	0.56	0.09084839
TCGA-EA-A3Y4-01	CESC	4	1	3	0	0.381109987	0.57	0.43	0.048890013
TCGA-EA-A410-01	CESC	0	0	0	0	0.137306331	0.8	0.2	0.062693669
TCGA-EA-A411-01	CESC	21	12	9	1	0.28617278	0.42	0.58	0.29382722
TCGA-EA-A439-01	CESC	23	18	5	1	0.150339124	0.64	0.36	0.209660876
TCGA-EA-A43B-01	CESC	21	17	4	1	0.378825658	0.38	0.62	0.241174342
TCGA-EA-A44S-01	CESC	8	8	0	0	0.262376847	0.73	0.27	0.007623153
TCGA-EA-A4BA-01	CESC	1	0	1	0	0.070951179	0.73	0.27	0.199048821
TCGA-EA-A50E-01	CESC	6	3	3	0	0.364919618	0.5	0.5	0.135080382
TCGA-EA-A556-01	CESC	8	5	3	1	0.125604908	0.7	0.3	0.174395092
TCGA-EA-A5FO-01	CESC	3	0	3	0	0.051598138	0.92	0.08	0.028401862
TCGA-EA-A5O9-01	CESC	21	19	2	1	0.105623411	0.85	0.15	0.044376589
TCGA-EA-A5ZD-01	CESC	3	0	3	0	0.491389659	0.4	0.6	0.108610341
TCGA-EA-A5ZE-01	CESC	6	2	4	0	0.173678555	0.7	0.3	0.126321445
TCGA-EA-A5ZF-01	CESC	29	19	10	1	0.1158983	0.73	0.27	0.1541017
TCGA-EA-A6QX-01	CESC	7	4	3	0	0.172190907	0.79	0.21	0.037809093
TCGA-EA-A78R-01	CESC	3	2	1	0	0.435158215	0.43	0.57	0.134841785
TCGA-EA-A97N-01	CESC	22	16	6	1	0.205988128	0.64	0.36	0.154011872
TCGA-EK-A2GZ-01	CESC	10	4	6	0	0.422460497	0.58	0.42	-0.002460497
TCGA-EK-A2H0-01	CESC	5	4	1	0	0.205997745	0.73	0.27	0.064002255
TCGA-EK-A2H1-01	CESC	7	2	5	0	0.375850773	0.42	0.58	0.204149227
TCGA-EK-A2IP-01	CESC	2	2	0	0	0.106521662	0.84	0.16	0.053478338
TCGA-EK-A2PG-01	CESC	24	18	6	2	0.128294253	0.79	0.21	0.081705747
TCGA-EK-A2PI-01	CESC	11	9	2	0	0.067945863	0.81	0.19	0.122054137
TCGA-EK-A2PK-01	CESC	16	10	6	1	0.335358456	0.5	0.5	0.164641544
TCGA-EK-A2PL-01	CESC	8	6	2	1	0.212072432	0.61	0.39	0.177927568
TCGA-EK-A2PM-01	CESC	22	9	13	1	0.116839528	0.7	0.3	0.183160472
TCGA-EK-A2R7-01	CESC	10	3	7	0	0.234168803	0.69	0.31	0.075831197
TCGA-EK-A2R8-01	CESC	11	9	2	1	0.336442682	0.44	0.56	0.223557318
TCGA-EK-A2R9-01	CESC	8	1	7	0	0.129613494	0.78	0.22	0.090386506
TCGA-EK-A2RA-01	CESC	33	26	7	2	0.257219558	0.64	0.36	0.102780442
TCGA-EK-A2RB-01	CESC	5	2	3	0	0.137687868	0.81	0.19	0.052312132
TCGA-EK-A2RC-01	CESC	5	3	2	0	0.246420486	0.61	0.39	0.143579514
TCGA-EK-A2RD-01	CESC	6	3	3	0	0.347509666	0.63	0.37	0.022490334
TCGA-EK-A2RE-01	CESC	5	3	2	0	0.075231195	0.86	0.14	0.064768805
TCGA-EK-A2RJ-01	CESC	28	22	6	1	0.398587945	0.5	0.5	0.101412055
TCGA-EK-A2RK-01	CESC	17	14	3	0	0.16312731	0.78	0.22	0.05687269
TCGA-EK-A2RL-01	CESC	3	1	2	0	0.051317163	0.91	0.09	0.038682837
TCGA-EK-A2RM-01	CESC	20	14	6	1	0.0860806	0.65	0.35	0.2639194
TCGA-EK-A2RN-01	CESC	20	12	8	1	0.241592949	0.63	0.37	0.128407051
TCGA-EK-A2RO-01	CESC	7	2	5	0	0.115043633	0.71	0.29	0.174956367
TCGA-EK-A3GJ-01	CESC	6	5	1	1	0.151625606	0.69	0.31	0.158374394
TCGA-EK-A3GK-01	CESC	6	3	3	0	0.141681075	0.85	0.15	0.008318925
TCGA-EK-A3GM-01	CESC	18	10	8	1	0.096427082	0.79	0.21	0.113572918
TCGA-EK-A3GN-01	CESC	6	1	5	0	0.190928388	0.7	0.3	0.109071612
TCGA-EX-A1H5-01	CESC	14	12	2	0	0.123071615	0.78	0.22	0.096928385
TCGA-EX-A1H6-01	CESC	4	4	0	0	0.096089537	0.62	0.38	0.283910463
TCGA-EX-A3L1-01	CESC	16	12	4	1	0.532196771	0.27	0.73	0.197803229
TCGA-EX-A69L-01	CESC	7	3	4	0	0.371827687	0.58	0.42	0.048172313
TCGA-EX-A69M-01	CESC	8	4	4	0	0.254633968	0.69	0.31	0.055366032
TCGA-EX-A8YF-01	CESC	13	3	10	0	0.346425428	0.56	0.44	0.093574572
TCGA-FU-A23K-01	CESC	6	2	4	0	0.273061512	0.64	0.36	0.086938488
TCGA-FU-A23L-01	CESC	23	7	16	1	0.261542796	0.5	0.5	0.238457204
TCGA-FU-A2QG-01	CESC	5	5	0	0	0.174730784	0.81	0.19	0.015269216
TCGA-FU-A3EO-01	CESC	4	2	2	0	0.065379977	0.81	0.19	0.124620023
TCGA-FU-A3HY-01	CESC	9	6	3	1	0.22800363	0.63	0.37	0.14199637
TCGA-FU-A3HZ-01	CESC	0	0	0	0	0.189292796	0.81	0.19	0.000707204
TCGA-FU-A3NI-01	CESC	22	9	13	1	0.140220364	0.65	0.35	0.209779636
TCGA-FU-A3TQ-01	CESC	5	5	0	0	0.301618756	0.66	0.34	0.038381244
TCGA-FU-A3TX-01	CESC	10	1	9	1	0.114873452	0.68	0.32	0.205126548
TCGA-FU-A3WB-01	CESC	3	2	1	0	0.062516854	0.88	0.12	0.057483146
TCGA-FU-A3YQ-01	CESC	4	2	2	0	0.496299226	0.34	0.66	0.163700774
TCGA-FU-A40J-01	CESC	18	3	15	1	0.164416053	0.65	0.35	0.185583947
TCGA-FU-A57G-01	CESC	4	2	2	0	0.148248222	0.58	0.42	0.271751778
TCGA-FU-A5XV-01	CESC	6	4	2	0	0.248102015	0.72	0.28	0.031897985
TCGA-FU-A770-01	CESC	2	2	0	0	0.360551422	0.61	0.39	0.029448578
TCGA-GH-A9DA-01	CESC	12	4	8	0	0.185968867	0.74	0.26	0.074031133
TCGA-HG-A2PA-01	CESC	7	4	3	0	0.25278842	0.5	0.5	0.24721158
TCGA-HG-A9SC-01	CESC	9	3	6	0	0.152420198	0.65	0.35	0.197579802
TCGA-HM-A3JJ-01	CESC	17	13	4	1	0.319176119	0.42	0.58	0.260823881
TCGA-HM-A3JK-01	CESC	13	2	11	1	0.209843133	0.43	0.57	0.360156867
TCGA-HM-A4S6-01	CESC	2	0	2	0	0.412644741	0.54	0.46	0.047355259
TCGA-HM-A6W2-01	CESC	5	3	2	0	0.123741798	0.85	0.15	0.026258202
TCGA-HM-A6W2-06	CESC	6	3	3	0	0.092559704	0.89	0.11	0.017440296
TCGA-IR-A3L7-01	CESC	1	1	0	0	0.055927906	0.84	0.16	0.104072094
TCGA-IR-A3LA-01	CESC	3	3	0	0	0.073300722	0.88	0.12	0.046699278
TCGA-IR-A3LB-01	CESC	6	6	0	0	0.079162703	0.72	0.28	0.200837297
TCGA-IR-A3LC-01	CESC	4	0	4	0	0.164727138	0.78	0.22	0.055272862
TCGA-IR-A3LF-01	CESC	6	3	3	1	0.089295753	0.25	0.75	0.660704247
TCGA-IR-A3LH-01	CESC	10	6	4	0	0.425377452	0.49	0.51	0.084622548
TCGA-IR-A3LI-01	CESC	1	0	1	0	0.038196696	0.93	0.07	0.031803304
TCGA-IR-A3LK-01	CESC	6	4	2	0	0.130143932	0.84	0.16	0.029856068
TCGA-IR-A3LL-01	CESC	13	0	13	1	0.391936965	0.5	0.5	0.108063035
TCGA-JW-A5VG-01	CESC	6	3	3	0	0.203256613	0.78	0.22	0.016743387
TCGA-JW-A5VH-01	CESC	0	0	0	0	0.113723136	0.76	0.24	0.126276864
TCGA-JW-A5VI-01	CESC	7	6	1	0	0.271791555	0.67	0.33	0.058208445
TCGA-JW-A5VJ-01	CESC	10	3	7	0	0.267150343	0.65	0.35	0.082849657
TCGA-JW-A5VK-01	CESC	10	6	4	0	0.048447611	0.94	0.06	0.011552389
TCGA-JW-A5VL-01	CESC	5	1	4	0	0.130331396	0.86	0.14	0.009668604
TCGA-JW-A69B-01	CESC	9	4	5	0	0.12687855	0.78	0.22	0.09312145
TCGA-JW-A852-01	CESC	2	0	2	0	0.161663313	0.81	0.19	0.028336687
TCGA-JW-AAVH-01	CESC	5	2	3	0	0.050566647	0.93	0.07	0.019433353
TCGA-JX-A3PZ-01	CESC	10	8	2	1	0.139714258	0.7	0.3	0.160285742
TCGA-JX-A3Q0-01	CESC	10	0	10	0	0.202121299	0.76	0.24	0.037878701
TCGA-JX-A3Q8-01	CESC	18	8	10	1	0.077116197	0.86	0.14	0.062883803
TCGA-JX-A5QV-01	CESC	21	8	13	1	0.267966077	0.64	0.36	0.092033923
TCGA-LP-A4AU-01	CESC	18	6	12	1	0.502516821	0.25	0.75	0.247483179
TCGA-LP-A4AV-01	CESC	5	1	4	0	0.233927222	0.7	0.3	0.066072778
TCGA-LP-A4AW-01	CESC	5	3	2	0	0.319270596	0.39	0.61	0.290729404
TCGA-LP-A4AX-01	CESC	7	5	2	0	0.453777403	0.45	0.55	0.096222597
TCGA-LP-A5U2-01	CESC	10	1	9	0	0.109908282	0.87	0.13	0.020091718
TCGA-LP-A5U3-01	CESC	3	2	1	0	0.121844228	0.85	0.15	0.028155772
TCGA-LP-A7HU-01	CESC	21	14	7	0	0.119606336	0.44	0.56	0.440393664
TCGA-MA-AA3W-01	CESC	5	3	2	0	0.468948986	0.48	0.52	0.051051014
TCGA-MA-AA3X-01	CESC	22	12	10	1	0.244842848	0.68	0.32	0.075157152
TCGA-MA-AA3Y-01	CESC	5	2	3	0	0.45081236	0.47	0.53	0.07918764
TCGA-MA-AA3Z-01	CESC	3	2	1	0	0.265262731	0.76	0.24	-0.025262731
TCGA-MA-AA41-01	CESC	9	2	7	0	0.24750741	0.72	0.28	0.03249259
TCGA-MA-AA42-01	CESC	12	8	4	0	0.380818886	0.6	0.4	0.019181114
TCGA-MA-AA43-01	CESC	27	20	7	2	0.159960832	0.52	0.48	0.320039168
TCGA-MU-A51Y-01	CESC	2	1	1	0	0.352074675	0.52	0.48	0.127925325
TCGA-MU-A5YI-01	CESC	9	7	2	0	0.110189053	0.7	0.3	0.189810947
TCGA-MU-A8JM-01	CESC	4	1	3	0	0.291627253	0.62	0.38	0.088372747
TCGA-MY-A5BD-01	CESC	2	0	2	0	0.056941535	0.94	0.06	0.003058465
TCGA-MY-A5BE-01	CESC	15	0	15	1	0.639353167	0.22	0.78	0.140646833
TCGA-MY-A5BF-01	CESC	7	4	3	0	0.165120231	0.82	0.18	0.014879769
TCGA-MY-A913-01	CESC	17	14	3	1	0.276920318	0.5	0.5	0.223079682
TCGA-PN-A8MA-01	CESC	20	9	11	2	0.09958768	0.78	0.22	0.12041232
TCGA-Q1-A5R1-01	CESC	1	1	0	0	0.178985628	0.77	0.23	0.051014372
TCGA-Q1-A5R2-01	CESC	14	8	6	1	0.27491236	0.57	0.43	0.15508764
TCGA-Q1-A5R3-01	CESC	12	2	10	0	0.23306397	0.72	0.28	0.04693603
TCGA-Q1-A6DT-01	CESC	20	13	7	1	0.254829636	0.57	0.43	0.175170364
TCGA-Q1-A6DV-01	CESC	0	0	0	0	0.231054088	0.66	0.34	0.108945912
TCGA-Q1-A6DW-01	CESC	6	1	5	0	0.180432243	0.74	0.26	0.079567757
TCGA-Q1-A73O-01	CESC	1	0	1	0	0.36689123	0.52	0.48	0.11310877
TCGA-Q1-A73P-01	CESC	2	1	1	0	0.181295723	0.73	0.27	0.088704277
TCGA-Q1-A73Q-01	CESC	5	4	1	0	0.146168714	0.84	0.16	0.013831286
TCGA-Q1-A73R-01	CESC	1	0	1	0	0.09212066	0.9	0.1	0.00787934
TCGA-Q1-A73S-01	CESC	13	8	5	0	0.064688711	0.95	0.05	-0.014688711
TCGA-R2-A69V-01	CESC	8	2	6	0	0.673232108	0.24	0.76	0.086767892
TCGA-RA-A741-01	CESC	7	5	2	0	0.341189875	0.86	0.14	-0.201189875
TCGA-UC-A7PD-01	CESC	1	0	1	0	0.287795691	0.66	0.34	0.052204309
TCGA-UC-A7PF-01	CESC	7	3	4	0	0.371598514	0.55	0.45	0.078401486
TCGA-UC-A7PG-01	CESC	23	18	5	1	0.250706241	0.55	0.45	0.199293759
TCGA-UC-A7PG-06	CESC	24	18	6	1	0.252351231	0.65	0.35	0.097648769
TCGA-UC-A7PI-01	CESC	6	2	4	0	0.065357239	0.84	0.16	0.094642761
TCGA-VS-A8EB-01	CESC	18	13	5	1	0.086754675	0.8	0.2	0.113245325
TCGA-VS-A8EC-01	CESC	16	5	11	1	0.095024191	0.86	0.14	0.044975809
TCGA-VS-A8EG-01	CESC	2	1	1	0	0.116884897	0.82	0.18	0.063115103
TCGA-VS-A8EH-01	CESC	13	6	7	1	0.125250622	0.72	0.28	0.154749378
TCGA-VS-A8EI-01	CESC	9	8	1	0	0.444380759	0.43	0.57	0.125619241
TCGA-VS-A8EJ-01	CESC	16	12	4	1	0.044919575	0.92	0.08	0.035080425
TCGA-VS-A8EL-01	CESC	4	1	3	0	0.958711984	0.48	0.52	-0.438711984
TCGA-VS-A8Q8-01	CESC	10	5	5	0	0.265354326	0.7	0.3	0.034645674
TCGA-VS-A8Q9-01	CESC	10	9	1	1	0.239052236	0.54	0.46	0.220947764
TCGA-VS-A8QA-01	CESC	8	3	5	1	0.115039072	0.73	0.27	0.154960928
TCGA-VS-A8QC-01	CESC	12	5	7	0	0.145098149	0.78	0.22	0.074901851
TCGA-VS-A8QF-01	CESC	7	6	1	0	0.256777778	0.7	0.3	0.043222222
TCGA-VS-A8QH-01	CESC	8	6	2	0	0.368251825	0.59	0.41	0.041748175
TCGA-VS-A8QM-01	CESC	5	0	5	1	0.483857948	0.21	0.79	0.306142052
TCGA-VS-A94W-01	CESC	7	1	6	0	0.349402099	0.56	0.44	0.090597901
TCGA-VS-A94X-01	CESC	13	2	11	1	0.277672697	0.63	0.37	0.092327303
TCGA-VS-A94Y-01	CESC	9	6	3	0	0.191253035	0.72	0.28	0.088746965
TCGA-VS-A94Z-01	CESC	7	6	1	0	0.510874536	0.46	0.54	0.029125464
TCGA-VS-A950-01	CESC	24	16	8	2	0.329086783	0.46	0.54	0.210913217
TCGA-VS-A952-01	CESC	5	3	2	0	0.079121949	0.91	0.09	0.010878051
TCGA-VS-A953-01	CESC	29	23	6	2	0.054269532	0.88	0.12	0.065730468
TCGA-VS-A954-01	CESC	9	0	9	0	0.128339912	0.81	0.19	0.061660088
TCGA-VS-A957-01	CESC	3	1	2	0	0.041348567	0.95	0.05	0.008651433
TCGA-VS-A958-01	CESC	4	2	2	0	0.471299321	0.48	0.52	0.048700679
TCGA-VS-A959-01	CESC	14	8	6	1	0.451137468	0.37	0.63	0.178862532
TCGA-VS-A9U5-01	CESC	22	8	14	1	0.244884464	0.56	0.44	0.195115536
TCGA-VS-A9U6-01	CESC	9	4	5	0	0.275860449	0.65	0.35	0.074139551
TCGA-VS-A9U7-01	CESC	1	1	0	0	0.141878758	0.82	0.18	0.038121242
TCGA-VS-A9UA-01	CESC	6	0	6	0	0.326853217	0.62	0.38	0.053146783
TCGA-VS-A9UB-01	CESC	11	1	10	1	0.384214851	0.55	0.45	0.065785149
TCGA-VS-A9UC-01	CESC	4	1	3	0	0.21470951	0.72	0.28	0.06529049
TCGA-VS-A9UD-01	CESC	28	11	17	1	0.26808108	0.6	0.4	0.13191892
TCGA-VS-A9UH-01	CESC	22	18	4	1	0.505501582	0.23	0.77	0.264498418
TCGA-VS-A9UI-01	CESC	15	1	14	1	0.276455972	0.63	0.37	0.093544028
TCGA-VS-A9UJ-01	CESC	0	0	0	0	0.182688611	0.66	0.34	0.157311389
TCGA-VS-A9UL-01	CESC	18	11	7	2	0.070340594	0.84	0.16	0.089659406
TCGA-VS-A9UM-01	CESC	6	3	3	0	0.175599462	0.72	0.28	0.104400538
TCGA-VS-A9UO-01	CESC	5	5	0	0	0.174264876	0.75	0.25	0.075735124
TCGA-VS-A9UP-01	CESC	28	21	7	2	0.271316437	0.43	0.57	0.298683563
TCGA-VS-A9UQ-01	CESC	2	2	0	0	0.15072186	0.58	0.42	0.26927814
TCGA-VS-A9UR-01	CESC	5	5	0	0	0.162535987	0.8	0.2	0.037464013
TCGA-VS-A9UT-01	CESC	13	11	2	0	0.495274633	0.45	0.55	0.054725367
TCGA-VS-A9UU-01	CESC	23	7	16	2	0.450696741	0.28	0.72	0.269303259
TCGA-VS-A9UV-01	CESC	10	6	4	0	0.085468006	0.89	0.11	0.024531994
TCGA-VS-A9UY-01	CESC	5	3	2	0	0.130670466	0.84	0.16	0.029329534
TCGA-VS-A9UZ-01	CESC	1	0	1	0	0.187530145	0.67	0.33	0.142469855
TCGA-VS-A9V0-01	CESC	10	8	2	0	0.179712154	0.78	0.22	0.040287846
TCGA-VS-A9V1-01	CESC	2	1	1	0	0.306875564	0.86	0.14	-0.166875564
TCGA-VS-A9V2-01	CESC	6	4	2	0	0.366691185	0.55	0.45	0.083308815
TCGA-VS-A9V3-01	CESC	7	3	4	0	0.189394944	0.77	0.23	0.040605056
TCGA-VS-A9V4-01	CESC	17	9	8	1	0.956598225	0.33	0.67	-0.286598225
TCGA-VS-A9V5-01	CESC	4	3	1	0	0.129935984	0.71	0.29	0.160064016
TCGA-VS-AA62-01	CESC	3	2	1	1	0.548507197	0.54	0.46	-0.088507197
TCGA-WL-A834-01	CESC	12	3	9	0	0.151132532	0.77	0.23	0.078867468
TCGA-XS-A8TJ-01	CESC	20	8	12	2	0.437154594	0.27	0.73	0.292845406
TCGA-ZJ-A8QO-01	CESC	17	6	11	0	0.313286526	0.61	0.39	0.076713474
TCGA-ZJ-A8QQ-01	CESC	5	4	1	0	0.19799519	0.71	0.29	0.09200481
TCGA-ZJ-A8QR-01	CESC	5	5	0	1	0.201517104	0.63	0.37	0.168482896
TCGA-ZJ-AAX4-01	CESC	16	13	3	1	0.184021751	0.69	0.31	0.125978249
TCGA-ZJ-AAX8-01	CESC	1	0	1	0	0.471521544	0.36	0.64	0.168478456
TCGA-ZJ-AAXA-01	CESC	17	2	15	1	0.034577291	0.88	0.12	0.085422709
TCGA-ZJ-AAXB-01	CESC	23	15	8	1	0.065916219	0.77	0.23	0.164083781
TCGA-ZJ-AAXD-01	CESC	23	5	18	1	0.141660857	0.57	0.43	0.288339143
TCGA-ZJ-AAXF-01	CESC	21	4	17	1	0.47107023	0.23	0.77	0.29892977
TCGA-ZJ-AAXI-01	CESC	6	3	3	0	0.120276011	0.86	0.14	0.019723989
TCGA-ZJ-AAXJ-01	CESC	7	5	2	0	0.190519869	0.72	0.28	0.089480131
TCGA-ZJ-AAXN-01	CESC	3	1	2	0	0.164630074	0.79	0.21	0.045369926
TCGA-ZJ-AAXT-01	CESC	8	5	3	0	0.367618744	0.6	0.4	0.032381256
TCGA-ZJ-AAXU-01	CESC	9	3	6	0	0.402212209	0.54	0.46	0.057787791
TCGA-ZJ-AB0H-01	CESC	28	18	10	2	0.420184893	0.36	0.64	0.219815107
TCGA-ZJ-AB0I-01	CESC	4	1	3	0	0.059910143	0.9	0.1	0.040089857
TCGA-ZX-AA5X-01	CESC	4	2	2	0	0.365431825	0.37	0.63	0.264568175
TCGA-CS-4938-01	LGG	1	0	1	0	0.081383854	0.79	0.21	0.128616146
TCGA-CS-4941-01	LGG	7	3	4	0	0.318987593	0.62	0.38	0.061012407
TCGA-CS-4942-01	LGG	2	0	2	0	0.160748955	0.77	0.23	0.069251045
TCGA-CS-4943-01	LGG	5	3	2	1	0.030511151	0.83	0.17	0.139488849
TCGA-CS-4944-01	LGG	1	1	0	0	0.100240244	0.74	0.26	0.159759756
TCGA-CS-5390-01	LGG	2	2	0	0	0.028786691	0.86	0.14	0.111213309
TCGA-CS-5393-01	LGG	0	0	0	1	0.123663425	0.55	0.45	0.326336575
TCGA-CS-5394-01	LGG	1	1	0	0	0.024441398	0.91	0.09	0.065558602
TCGA-CS-5395-01	LGG	8	2	6	0	0.091496467	0.81	0.19	0.098503533
TCGA-CS-5396-01	LGG	6	4	2	0	0.065778303	0.89	0.11	0.044221697
TCGA-CS-5397-01	LGG	9	5	4	0	0.204313591	0.65	0.35	0.145686409
TCGA-CS-6186-01	LGG	7	2	5	0	0.074330115	0.89	0.11	0.035669885
TCGA-CS-6188-01	LGG	6	2	4	0	0.227442857	0.68	0.32	0.092557143
TCGA-CS-6290-01	LGG	0	0	0	1	0.20687226	0.53	0.47	0.26312774
TCGA-CS-6665-01	LGG	19	2	17	1	0.111228079	0.61	0.39	0.278771921
TCGA-CS-6666-01	LGG	8	4	4	1	0.057030709	0.25	0.75	0.692969291
TCGA-CS-6667-01	LGG	1	0	1	0	0.091749362	0.73	0.27	0.178250638
TCGA-CS-6668-01	LGG	2	2	0	0	0.00764356	0.98	0.02	0.01235644
TCGA-CS-6669-01	LGG	0	0	0	0	0.246957097	0.28	0.72	0.473042903
TCGA-CS-6670-01	LGG	2	2	0	0	0.043775423	0.82	0.18	0.136224577
TCGA-DB-5270-01	LGG	2	0	2	0	0.18122719	0.58	0.42	0.23877281
TCGA-DB-5273-01	LGG	1	0	1	0	0.233208624	0.73	0.27	0.036791376
TCGA-DB-5274-01	LGG	2	2	0	0	0.052528749	0.83	0.17	0.117471251
TCGA-DB-5275-01	LGG	3	2	1	0	0.052394292	0.91	0.09	0.037605708
TCGA-DB-5276-01	LGG	0	0	0	0	0.232167434	0.36	0.64	0.407832566
TCGA-DB-5277-01	LGG	9	6	3	0	0.034918971	0.9	0.1	0.065081029
TCGA-DB-5278-01	LGG	2	2	0	0	0.043354716	0.78	0.22	0.176645284
TCGA-DB-5279-01	LGG	15	15	0	1	0.032743943	0.83	0.17	0.137256057
TCGA-DB-5280-01	LGG	0	0	0	0	0.046843752	0.87	0.13	0.083156248
TCGA-DB-5281-01	LGG	6	6	0	1	0.040083535	0.28	0.72	0.679916465
TCGA-DB-A4X9-01	LGG	4	0	4	0	0.042774478	0.84	0.16	0.117225522
TCGA-DB-A4XA-01	LGG	2	2	0	0	0.128401203	0.77	0.23	0.101598797
TCGA-DB-A4XB-01	LGG	0	0	0	0	0.037982105	0.91	0.09	0.052017895
TCGA-DB-A4XC-01	LGG	0	0	0	0	0.166988389	0.67	0.33	0.163011611
TCGA-DB-A4XD-01	LGG	0	0	0	0	0.072721293	0.83	0.17	0.097278707
TCGA-DB-A4XE-01	LGG	5	0	5	0	0.061354492	0.93	0.07	0.008645508
TCGA-DB-A4XF-01	LGG	0	0	0	0	0.07438255	0.84	0.16	0.08561745
TCGA-DB-A4XG-01	LGG	4	4	0	0	0.026743652	0.93	0.07	0.043256348
TCGA-DB-A4XH-01	LGG	2	2	0	0	0.029758716	0.85	0.15	0.120241284
TCGA-DB-A64L-01	LGG	13	10	3	1	0.164088086	0.61	0.39	0.225911914
TCGA-DB-A64O-01	LGG	8	6	2	0	0.306521184	0.53	0.47	0.163478816
TCGA-DB-A64P-01	LGG	3	2	1	0	0.046929341	0.87	0.13	0.083070659
TCGA-DB-A64Q-01	LGG	3	2	1	1	0.050709287	0.82	0.18	0.129290713
TCGA-DB-A64R-01	LGG	2	2	0	0	0.02226767	0.96	0.04	0.01773233
TCGA-DB-A64S-01	LGG	0	0	0	0	0.119488803	0.75	0.25	0.130511197
TCGA-DB-A64U-01	LGG	2	2	0	0	0.044795395	0.78	0.22	0.175204605
TCGA-DB-A64V-01	LGG	2	2	0	0	0.163714151	0.54	0.46	0.296285849
TCGA-DB-A64W-01	LGG	5	4	1	1	0.021569032	0.8	0.2	0.178430968
TCGA-DB-A64X-01	LGG	0	0	0	0	0.044511585	0.94	0.06	0.015488415
TCGA-DB-A75K-01	LGG	2	2	0	0	0.043015669	0.84	0.16	0.116984331
TCGA-DB-A75L-01	LGG	4	2	2	1	0.095702255	0.71	0.29	0.194297745
TCGA-DB-A75M-01	LGG	1	0	1	0	0.109479004	0.87	0.13	0.020520996
TCGA-DB-A75O-01	LGG	2	1	1	1	0.172539489	0.59	0.41	0.237460511
TCGA-DB-A75P-01	LGG	2	2	0	1	0.243309812	0.7	0.3	0.056690188
TCGA-DH-5140-01	LGG	13	13	0	1	0.057631049	0.8	0.2	0.142368951
TCGA-DH-5141-01	LGG	2	2	0	0	0.035430577	0.79	0.21	0.174569423
TCGA-DH-5142-01	LGG	5	4	1	1	0.106953801	0.77	0.23	0.123046199
TCGA-DH-5143-01	LGG	1	1	0	1	0.08887767	0.29	0.71	0.62112233
TCGA-DH-5144-01	LGG	2	2	0	0	0.022140285	0.93	0.07	0.047859715
TCGA-DH-A669-01	LGG	26	15	11	2	0.046087977	0.8	0.2	0.153912023
TCGA-DH-A669-02	LGG	28	9	19	1	0.04863271	0.79	0.21	0.16136729
TCGA-DH-A66B-01	LGG	10	7	3	0	0.104930554	0.44	0.56	0.455069446
TCGA-DH-A66D-01	LGG	4	4	0	1	0.152456419	0.68	0.32	0.167543581
TCGA-DH-A66F-01	LGG	2	2	0	0	0.027838924	0.93	0.07	0.042161076
TCGA-DH-A66G-01	LGG	5	5	0	1	0.188303641	0.23	0.77	0.581696359
TCGA-DH-A7UR-01	LGG	3	3	0	1	0.080952326	0.6	0.4	0.319047674
TCGA-DH-A7US-01	LGG	2	2	0	0	0.056401575	0.74	0.26	0.203598425
TCGA-DH-A7UT-01	LGG	7	2	5	0	0.121127484	0.69	0.31	0.188872516
TCGA-DH-A7UU-01	LGG	4	3	1	1	0.077064844	0.77	0.23	0.152935156
TCGA-DH-A7UV-01	LGG	2	0	2	1	0.065506569	0.55	0.45	0.384493431
TCGA-DU-5847-01	LGG	7	7	0	0	0.122215965	0.76	0.24	0.117784035
TCGA-DU-5849-01	LGG	3	2	1	0	0.058897695	0.69	0.31	0.251102305
TCGA-DU-5851-01	LGG	0	0	0	0	0.105067873	0.44	0.56	0.454932127
TCGA-DU-5852-01	LGG	6	4	2	0	0.13806314	0.81	0.19	0.05193686
TCGA-DU-5853-01	LGG	0	0	0	0	0.082723432	0.83	0.17	0.087276568
